milis,breathing
1436875469720,513
1436875469776,514
1436875469832,516
1436875469888,1022
1436875469944,519
1436875470000,521
1436875470056,523
1436875470112,524
1436875470168,527
1436875470224,529
1436875470280,532
1436875470336,1022
1436875470392,535
1436875470448,537
1436875470504,538
1436875470560,1023
1436875470616,539
1436875470672,539
1436875470728,539
1436875470784,539
1436875470840,539
1436875470896,1023
1436875470952,539
1436875471008,539
1436875471064,538
1436875471120,537
1436875471176,537
1436875471232,536
1436875471288,535
1436875471344,1022
1436875471400,533
1436875471456,532
1436875471512,531
1436875471568,529
1436875471624,528
1436875471680,526
1436875471736,525
1436875471792,524
1436875471848,522
1436875471904,521
1436875471960,520
1436875472016,518
1436875472072,517
1436875472128,1023
1436875472184,514
1436875472240,512
1436875472296,511
1436875472352,1023
1436875472408,509
1436875472464,509
1436875472520,507
1436875472576,1023
1436875472632,506
1436875472688,504
1436875472744,503
1436875472800,501
1436875472856,500
1436875472912,1022
1436875472968,496
1436875473024,495
1436875473080,492
1436875473136,492
1436875473192,491
1436875473248,490
1436875473304,490
1436875473360,1022
1436875473416,490
1436875473472,490
1436875473528,489
1436875473584,489
1436875473640,488
1436875473696,488
1436875473752,488
1436875473808,489
1436875473864,490
1436875473920,493
1436875473976,495
1436875474032,498
1436875474088,503
1436875474144,505
1436875474200,510
1436875474256,512
1436875474312,513
1436875474368,1023
1436875474424,516
1436875474480,518
1436875474536,519
1436875474592,520
1436875474648,523
1436875474704,524
1436875474760,527
1436875474816,528
1436875474872,529
1436875474928,532
1436875474984,533
1436875475040,535
1436875475096,536
1436875475152,537
1436875475208,538
1436875475264,539
1436875475320,539
1436875475376,1023
1436875475432,539
1436875475488,539
1436875475544,538
1436875475600,537
1436875475656,536
1436875475712,535
1436875475768,533
1436875475824,532
1436875475880,530
1436875475936,529
1436875475992,528
1436875476048,527
1436875476104,526
1436875476160,524
1436875476216,523
1436875476272,522
1436875476328,520
1436875476384,1023
1436875476440,517
1436875476496,515
1436875476552,514
1436875476608,513
1436875476664,512
1436875476720,511
1436875476776,510
1436875476832,509
1436875476888,507
1436875476944,1023
1436875477000,504
1436875477056,503
1436875477112,502
1436875477168,500
1436875477224,499
1436875477280,496
1436875477336,495
1436875477392,1023
1436875477448,493
1436875477504,493
1436875477560,491
1436875477616,1023
1436875477672,490
1436875477728,489
1436875477784,488
1436875477840,488
1436875477896,488
1436875477952,488
1436875478008,488
1436875478064,488
1436875478120,489
1436875478176,1022
1436875478232,491
1436875478288,493
1436875478344,495
1436875478400,1022
1436875478456,499
1436875478512,501
1436875478568,504
1436875478624,1022
1436875478680,509
1436875478736,510
1436875478792,512
1436875478848,514
1436875478904,516
1436875478960,1022
1436875479016,520
1436875479072,521
1436875479128,523
1436875479184,524
1436875479240,526
1436875479296,527
1436875479352,528
1436875479408,529
1436875479464,530
1436875479520,531
1436875479576,531
1436875479632,532
1436875479688,531
1436875479744,531
1436875479800,530
1436875479856,529
1436875479912,528
1436875479968,1023
1436875480024,526
1436875480080,524
1436875480136,523
1436875480192,1022
1436875480248,520
1436875480304,520
1436875480360,520
1436875480416,521
1436875480472,522
1436875480528,524
1436875480584,525
1436875480640,1022
1436875480696,527
1436875480752,529
1436875480808,532
1436875480864,533
1436875480920,535
1436875480976,1023
1436875481032,534
1436875481088,531
1436875481144,529
1436875481200,1022
1436875481256,527
1436875481312,529
1436875481368,534
1436875481424,1022
1436875481480,543
1436875481536,545
1436875481592,546
1436875481648,1022
1436875481704,546
1436875481760,545
1436875481816,545
1436875481872,546
1436875481928,547
1436875481984,548
1436875482040,549
1436875482096,549
1436875482152,548
1436875482208,1022
1436875482264,544
1436875482320,543
1436875482376,543
1436875482432,544
1436875482488,546
1436875482544,547
1436875482600,545
1436875482656,1023
1436875482712,540
1436875482768,536
1436875482824,536
1436875482880,537
1436875482936,539
1436875482992,1022
1436875483048,548
1436875483104,552
1436875483160,561
1436875483216,1023
1436875483272,572
1436875483328,585
1436875483384,592
1436875483440,1023
1436875483496,614
1436875483552,622
1436875483608,635
1436875483664,640
1436875483720,649
1436875483776,651
1436875483832,652
1436875483888,651
1436875483944,648
1436875484000,641
1436875484056,637
1436875484112,632
1436875484168,622
1436875484224,617
1436875484280,609
1436875484336,605
1436875484392,603
1436875484448,600
1436875484504,600
1436875484560,603
1436875484616,605
1436875484672,1023
1436875484728,613
1436875484784,617
1436875484840,623
1436875484896,626
1436875484952,628
1436875485008,1023
1436875485064,632
1436875485120,631
1436875485176,630
1436875485232,628
1436875485288,621
1436875485344,616
1436875485400,606
1436875485456,600
1436875485512,593
1436875485568,580
1436875485624,573
1436875485680,1023
1436875485736,553
1436875485792,546
1436875485848,534
1436875485904,529
1436875485960,519
1436875486016,1023
1436875486072,512
1436875486128,505
1436875486184,502
1436875486240,1022
1436875486296,496
1436875486352,494
1436875486408,492
1436875486464,1023
1436875486520,489
1436875486576,488
1436875486632,487
1436875486688,1022
1436875486744,486
1436875486800,484
1436875486856,484
1436875486912,483
1436875486968,482
1436875487024,481
1436875487080,479
1436875487136,479
1436875487192,478
1436875487248,476
1436875487304,475
1436875487360,473
1436875487416,472
