milis,ecg
1436875455152,500
1436875455156,500
1436875455160,500
1436875455164,500
1436875455168,500
1436875455172,500
1436875455176,500
1436875455180,500
1436875455184,500
1436875455188,500
1436875455192,500
1436875455196,500
1436875455200,500
1436875455204,501
1436875455208,501
1436875455212,500
1436875455216,500
1436875455220,500
1436875455224,500
1436875455228,500
1436875455232,500
1436875455236,500
1436875455240,500
1436875455244,500
1436875455248,500
1436875455252,500
1436875455256,500
1436875455260,500
1436875455264,500
1436875455268,500
1436875455272,499
1436875455276,1023
1436875455280,499
1436875455284,499
1436875455288,499
1436875455292,1023
1436875455296,500
1436875455300,500
1436875455304,500
1436875455308,501
1436875455312,501
1436875455316,501
1436875455320,501
1436875455324,1022
1436875455328,502
1436875455332,502
1436875455336,502
1436875455340,501
1436875455344,501
1436875455348,501
1436875455352,501
1436875455356,501
1436875455360,501
1436875455364,501
1436875455368,501
1436875455372,501
1436875455376,501
1436875455380,501
1436875455384,501
1436875455388,501
1436875455392,502
1436875455396,502
1436875455400,502
1436875455404,502
1436875455408,500
1436875455412,496
1436875455416,1023
1436875455420,486
1436875455424,484
1436875455428,485
1436875455432,493
1436875455436,505
1436875455440,523
1436875455444,543
1436875455448,565
1436875455452,583
1436875455456,593
1436875455460,590
1436875455464,1023
1436875455468,551
1436875455472,526
1436875455476,506
1436875455480,496
1436875455484,493
1436875455488,494
1436875455492,496
1436875455496,497
1436875455500,497
1436875455504,496
1436875455508,496
1436875455512,496
1436875455516,496
1436875455520,496
1436875455524,496
1436875455528,496
1436875455532,496
1436875455536,497
1436875455540,497
1436875455544,1022
1436875455548,498
1436875455552,498
1436875455556,498
1436875455560,1022
1436875455564,497
1436875455568,497
1436875455572,497
1436875455576,497
1436875455580,497
1436875455584,497
1436875455588,497
1436875455592,497
1436875455596,497
1436875455600,498
1436875455604,498
1436875455608,1022
1436875455612,498
1436875455616,498
1436875455620,498
1436875455624,1022
1436875455628,499
1436875455632,499
1436875455636,499
1436875455640,1023
1436875455644,499
1436875455648,500
1436875455652,500
1436875455656,500
1436875455660,500
1436875455664,500
1436875455668,500
1436875455672,500
1436875455676,501
1436875455680,501
1436875455684,501
1436875455688,501
1436875455692,501
1436875455696,501
1436875455700,501
1436875455704,500
1436875455708,500
1436875455712,499
1436875455716,1023
1436875455720,498
1436875455724,498
1436875455728,498
1436875455732,1022
1436875455736,498
1436875455740,498
1436875455744,498
1436875455748,1022
1436875455752,498
1436875455756,498
1436875455760,498
1436875455764,1022
1436875455768,498
1436875455772,498
1436875455776,499
1436875455780,1023
1436875455784,499
1436875455788,499
1436875455792,500
1436875455796,500
1436875455800,501
1436875455804,501
1436875455808,500
1436875455812,500
1436875455816,500
1436875455820,499
1436875455824,499
1436875455828,1023
1436875455832,500
1436875455836,500
1436875455840,500
1436875455844,500
1436875455848,500
1436875455852,500
1436875455856,500
1436875455860,500
1436875455864,500
1436875455868,500
1436875455872,501
1436875455876,501
1436875455880,501
1436875455884,501
1436875455888,501
1436875455892,501
1436875455896,501
1436875455900,501
1436875455904,501
1436875455908,501
1436875455912,501
1436875455916,501
1436875455920,501
1436875455924,501
1436875455928,501
1436875455932,501
1436875455936,501
1436875455940,501
1436875455944,501
1436875455948,501
1436875455952,501
1436875455956,501
1436875455960,501
1436875455964,501
1436875455968,1022
1436875455972,501
1436875455976,501
1436875455980,501
1436875455984,500
1436875455988,500
1436875455992,500
1436875455996,500
1436875456000,500
1436875456004,500
1436875456008,500
1436875456012,500
1436875456016,500
1436875456020,500
1436875456024,501
1436875456028,501
1436875456032,501
1436875456036,501
1436875456040,501
1436875456044,501
1436875456048,501
1436875456052,501
1436875456056,502
1436875456060,502
1436875456064,1022
1436875456068,502
1436875456072,502
1436875456076,503
1436875456080,1023
1436875456084,503
1436875456088,503
1436875456092,503
1436875456096,1022
1436875456100,502
1436875456104,502
1436875456108,502
1436875456112,1022
1436875456116,502
1436875456120,501
1436875456124,501
1436875456128,1022
1436875456132,502
1436875456136,502
1436875456140,503
1436875456144,1023
1436875456148,504
1436875456152,504
1436875456156,503
1436875456160,501
1436875456164,497
